title,slug,topCategoryName,origin,price_unit
Pomme Bio NOUS ANTI GASPI,pomme-bio-nous-anti-gaspi,Fruits et Légumes,FRANCE,3.19 € / KG
Pommes bicolores CARREFOUR BIO,pommes-bicolores-carrefour-bio,Fruits et Légumes,FRANCE,3.79 € / U
Pommes Jaunes Bio,pommes-jaunes-bio,Fruits et Légumes,FRANCE,3.19 € / U
Pommes Reinettes grises Bio du Canada,pommes-reinettes-grises-bio-du-canada,Fruits et Légumes,FRANCE,3.19 € / U
Pommes Jaunes vrac Bio,pommes-jaunes-vrac-bio,Fruits et Légumes,FRANCE,3.29 € / KG
Pommes Gala vrac Bio,pommes-gala-vrac-bio,Fruits et Légumes,FRANCE,2.99 € / KG
Pommes Braeburn vrac Bio,pommes-braeburn-vrac-bio,Fruits et Légumes,FRANCE,2.89 € / KG
Pommes vrac Bio,pommes-vrac-bio,Fruits et Légumes,FRANCE,3.51 € / KG
Pommes Pink Kiss vrac Bio,pommes-pink-kiss-vrac-bio,Fruits et Légumes,FRANCE,3.49 € / KG
Pommes Reinette d'Armorique vrac Bio,pommes-reinette-d-armorique-vrac-bio,Fruits et Légumes,FRANCE,3.59 € / KG
Pommes bicolores,pommes-bicolores,Fruits et Légumes,FRANCE,3.29 € / KG
Pommes Braeburn bicolore bio,pommes-braeburn-bicolore-bio,Fruits et Légumes,FRANCE,2.49 € / U
Pommes Granny Smith Bio,pommes-granny-smith-bio,Fruits et Légumes,FRANCE,3.19 € / U
Pommes Golden delicious bio,pommes-golden-delicious-bio,Fruits et Légumes,FRANCE,4.21 € / KG
Pommes Braeburn bicolores bio,pommes-braeburn-bicolores-bio,Fruits et Légumes,ORIGINE C.E.E.,3.29 € / U
Pommes Bellasweet vrac Bio,pommes-bellasweet-vrac-bio,Fruits et Légumes,FRANCE,2.89 € / KG
Pommes Ariane bio,pommes-ariane-bio,Fruits et Légumes,FRANCE,4.21 € / KG
Pommes Cripps Pink lady Bio,pommes-cripps-pink-lady-bio,Fruits et Légumes,FRANCE,3.99 € / KG
Pommes Fuji vrac Bio,pommes-fuji-vrac-bio,Fruits et Légumes,FRANCE,3.91 € / KG
Pommes Goldrush,pommes-goldrush,Fruits et Légumes,FRANCE,3.49 € / U
Pommes Chantecler,pommes-chantecler,Fruits et Légumes,FRANCE,3.19 € / U
Pommes Jaunes Bio,pommes-jaunes-bio,Fruits et Légumes,FRANCE,3.49 € / U
Pommes Golden Delicious en conversion Bio,pommes-golden-delicious-en-conversion-bio,Fruits et Légumes,FRANCE,5.90 € / KG
Pommes bicolores Bio,pommes-bicolores-bio,Fruits et Légumes,FRANCE,2.59 € / U
Pommes Pink Lady Bio,pommes-pink-lady-bio,Fruits et Légumes,FRANCE,3.89 € / U
Pommes bicolores Jonagold en conversion BRAEBURN Bio,pommes-bicolores-jonagold-en-conversion-braeburn-bio,Fruits et Légumes,FRANCE,3.59 € / U
Pommes Crips Pink Bio,pommes-crips-pink-bio,Fruits et Légumes,FRANCE,3.29 € / U
Pommes Elstar vrac Bio,pommes-elstar-vrac-bio,Fruits et Légumes,FRANCE,2.89 € / KG
Pommes bicolores Jazz Bio,pommes-bicolores-jazz-bio,Fruits et Légumes,FRANCE,2.91 € / KG
Pommes jaunes,pommes-jaunes,Fruits et Légumes,FRANCE,2.59 € / U
Pommes jaunes GoldRush en conversion Bio GOLDRUSH,pommes-jaunes-goldrush-en-conversion-bio-goldrush,Fruits et Légumes,FRANCE,2.99 € / U
