title;slug;topCategoryName;origin;price_unit;price
Crème Uht Semi-Épaisse Entière 30% Mg ELLE & VIRE;lait;Crèmerie et Produits laitiers;;7.65;4.59
Crème Uht Fluide Entière 30% Mg ELLE & VIRE;lait;Crèmerie et Produits laitiers;;5.58;3.35
Crème Uht Fluide Entière 30% Mg ELLE & VIRE;lait;Crèmerie et Produits laitiers;;5.25;5.25
Fromage Blanc ELLE & VIRE;fromage-blanc-elle-vire;Crèmerie et Produits laitiers;;4.85;1.95
Mini beurre  gastronomique doux ELLE & VIRE;mini-beurre-gastronomique-doux-elle-vire;Crèmerie et Produits laitiers;;15.75;3.15
Mini beurre   gastronomique demi-sel ELLE & VIRE;mini-beurre-gastronomique-demi-sel-elle-vire;Crèmerie et Produits laitiers;;15.75;3.15
Sauce Béchamel Au Lait Entier  ELLE & VIRE;sauce-bechamel-au-lait-entier-elle-vire;Crèmerie et Produits laitiers;;6.03;1.99
Beurre Demi-sel en baratte ETREZ;beurre-demi-sel-en-baratte-etrez;Crèmerie et Produits laitiers;;11.40;2.85
Crème de Bresse Epaisse AOP 36% M.G ETREZ;lait;Crèmerie et Produits laitiers;;5.90;1.18
Crème Fraîche Epaisse  ETREZ;lait;Crèmerie et Produits laitiers;;9.45;1.89
Crème Fraîche Epaisse  ETREZ;lait;Crèmerie et Produits laitiers;;5.04;2.52
Crème Fraîche Epaisse Aoc De Bresse 36% Mat.Gr. ETREZ;lait;Crèmerie et Produits laitiers;;7.50;3.75
Crème Fraîche Fleurette Liquide 33% Mat.Gr. ETREZ;lait;Produits régionaux et locaux;;5.40;1.35
Crème Fraîche Aop De Bresse 40% Mat.Gr. ETREZ;lait;Crèmerie et Produits laitiers;;6.39;6.39
Crème Entière Liquide FAIREFRANCE;lait;Crèmerie et Produits laitiers;;5.82;3.49
Crème Fraîche Epaisse FERME DE BASSIGNAC;lait;Crèmerie et Produits laitiers;;11.75;2.35
Crème Crue FERME DES NOES RABACHE;lait;Crèmerie et Produits laitiers;;9.45;1.89
Crème Crue FERME DES NOES RABACHE;lait;Crèmerie et Produits laitiers;;8.98;3.59
Crème Crue FERME DES NOES RABACHE;lait;Crèmerie et Produits laitiers;;7.30;3.65
Crème Fraîche Pasteurisé Au Bain-Marie FERME DES NOES RABACHE;lait;Crèmerie et Produits laitiers;;6.34;3.17
Alternative Végétale au Beurre Doux FLORA;alternative-vegetale-au-beurre-doux-flora;Crèmerie et Produits laitiers;;12.98;2.79
Alternative Végétale au Beurre Demi-Sel FLORA;alternative-vegetale-au-beurre-demi-sel-flora;Crèmerie et Produits laitiers;;12.98;2.79
Margarine Sel de Mer Sans Huile de Pale 100% Végétal Oméga 3 FRUIT D'OR;margarine-sel-de-mer-sans-huile-de-pale-100-vegetal-omega-3-fruit-d-or;Crèmerie et Produits laitiers;;7.44;3.35
Margarine oméga 3 & 6 doux sans huile de palme FRUIT D'OR;margarine-omega-3-6-doux-sans-huile-de-palme-fruit-d-or;Crèmerie et Produits laitiers;;7.44;3.35
Margarine oméga 3 & 6 doux sans huile de palme FRUIT D'OR;margarine-omega-3-6-doux-sans-huile-de-palme-fruit-d-or;Crèmerie et Produits laitiers;;9.56;2.15
Margarine liquide oméga 3 sans huile de palme FRUIT D'OR;margarine-liquide-omega-3-sans-huile-de-palme-fruit-d-or;Crèmerie et Produits laitiers;;6.98;3.49
Beurre de Savoie FRUITIERES CHABERT;beurre-de-savoie-fruitieres-chabert;Crèmerie et Produits laitiers;;12.36;3.09
Crème Fouettés  Mascarpone GALBANI;lait;Crèmerie et Produits laitiers;;14.20;3.55
Crème Liquide Uht Spécial Chantilly 35% Mat.Gr. GERENTES;lait;Crèmerie et Produits laitiers;;7.48;4.49
Crème Uht De Montagne GERENTES;lait;Crèmerie et Produits laitiers;;5.85;5.85
Beurre Doux GILLOT;beurre-doux-gillot;Crèmerie et Produits laitiers;;9.40;2.35
Beurre Demi-sel Aux Cristaux de Sel de Guérande GILLOT;beurre-demi-sel-aux-cristaux-de-sel-de-guerande-gillot;Crèmerie et Produits laitiers;;9.40;2.35
Beurre Doux Extra-fin de Belleville-sur-vie  GRAND FERMAGE;beurre-doux-extra-fin-de-belleville-sur-vie-grand-fermage;Crèmerie et Produits laitiers;;11.16;2.79
Beurre Demi-sel extra-fin Belleville-sur-Vie GRAND FERMAGE;beurre-demi-sel-extra-fin-belleville-sur-vie-grand-fermage;Crèmerie et Produits laitiers;;11.16;2.79
Beurre Doux Bio Moulé GRAND FERMAGE;beurre-doux-bio-moule-grand-fermage;Bio et Ecologie;;14.76;3.69
Beurre Demi-sel Bio Moulé GRAND FERMAGE;beurre-demi-sel-bio-moule-grand-fermage;Bio et Ecologie;;14.76;3.69
Beurre doux AOP GRAND FERMAGE;beurre-doux-aop-grand-fermage;Crèmerie et Produits laitiers;;11.40;2.85
Beurre Demi-sel Aux Cristaux de Sel de Mer de Noirmoutier GRAND FERMAGE;beurre-demi-sel-aux-cristaux-de-sel-de-mer-de-noirmoutier-grand-fermage;Crèmerie et Produits laitiers;;10.98;5.49
Beurre Demi-sel Aux Cristaux de Sel de Mer de Noirmoutier GRAND FERMAGE;beurre-demi-sel-aux-cristaux-de-sel-de-mer-de-noirmoutier-grand-fermage;Crèmerie et Produits laitiers;;11.40;2.85
Beurre Doux Bio GRAND FERMAGE;beurre-doux-bio-grand-fermage;Crèmerie et Produits laitiers;;13.00;3.25
Beurre Demi-Sel Bio GRAND FERMAGE;beurre-demi-sel-bio-grand-fermage;Crèmerie et Produits laitiers;;13.00;3.25
Beurre Demi-sel Aux Cristaux de Sel de Mer de Noirmoutier GRAND FERMAGE;beurre-demi-sel-aux-cristaux-de-sel-de-mer-de-noirmoutier-grand-fermage;Crèmerie et Produits laitiers;;14.32;1.79
Crème Fraîche Bio 35% Mat.Gr. ISIGNY SAINTE MERE;lait;Crèmerie et Produits laitiers;;9.95;1.99
Beurre Doux AOP d'Isigny ISIGNY STE MERE;beurre-doux-aop-d-isigny-isigny-ste-mere;Crèmerie et Produits laitiers;;14.00;1.75
Beurre Doux Extra-fin AOP d'Isigny ISIGNY STE MERE;beurre-doux-extra-fin-aop-d-isigny-isigny-ste-mere;Crèmerie et Produits laitiers;;11.96;2.99
Beurre Doux Bio de Normandie ISIGNY STE MERE;beurre-doux-bio-de-normandie-isigny-ste-mere;Bio et Ecologie;;15.75;3.15
Beurre Doux Moulé de Baratte ISIGNY STE MERE;beurre-doux-moule-de-baratte-isigny-ste-mere;Crèmerie et Produits laitiers;;13.00;3.25
Beurre Moulé de Baratte Aux Cristaux de Sel de Guérande ISIGNY STE MERE;beurre-moule-de-baratte-aux-cristaux-de-sel-de-guerande-isigny-ste-mere;Crèmerie et Produits laitiers;;13.00;3.25
Crème Vanille De Madagascar ISIGNY STE MERE;lait;Crèmerie et Produits laitiers;;11.80;2.95
Crème Vanille De Madagascar ISIGNY STE MERE;lait;Crèmerie et Produits laitiers;;10.30;5.15
Crème Fraîche Aop D'Isigny  ISIGNY STE MERE;lait;Crèmerie et Produits laitiers;;6.78;3.39
Crème Fraîche Aoc D'Isigny ISIGNY STE MERE;lait;Crèmerie et Produits laitiers;;9.75;1.95
Crème Fraîche Aop D'Isigny 40% Mat.Gr. ISIGNY STE MERE;lait;Crèmerie et Produits laitiers;;9.12;3.65
Beurre Demi-sel de Baratte KERGUILLET;beurre-demi-sel-de-baratte-kerguillet;Crèmerie et Produits laitiers;;17.16;4.29
Beurre moulé doux LA CHARRETTE;beurre-moule-doux-la-charrette;Crèmerie et Produits laitiers;;6.00;1.5
Beurre moulé demi-sel LA CHARRETTE;beurre-moule-demi-sel-la-charrette;Crèmerie et Produits laitiers;;11.00;2.75
Beurre moulé doux LA CHARRETTE;beurre-moule-doux-la-charrette;Crèmerie et Produits laitiers;;8.78;4.39
Beurre moulé demi-sel LA CHARRETTE;beurre-moule-demi-sel-la-charrette;Crèmerie et Produits laitiers;;8.78;4.39
Beurre doux LA CHARRETTE;beurre-doux-la-charrette;Crèmerie et Produits laitiers;;10.85;10.85
Beurre demi-sel LA CHARRETTE;beurre-demi-sel-la-charrette;Crèmerie et Produits laitiers;;8.75;8.75
Beurre Demi-sel de Baratte LAITERIE DE KERGUILLET;beurre-demi-sel-de-baratte-laiterie-de-kerguillet;Crèmerie et Produits laitiers;;15.38;7.69
Beurre Demi-sel Bio de Baratte LAITERIE DE KERGUILLET;beurre-demi-sel-bio-de-baratte-laiterie-de-kerguillet;Bio et Ecologie;;19.80;4.95
Beurre Doux de Baratte LAITERIE LES FAYES;beurre-doux-de-baratte-laiterie-les-fayes;Crèmerie et Produits laitiers;;15.45;3.09
Crème Fraîche Bio Epaisse Idéal Cuisson LAITERIE LES FAYES;lait;Crèmerie et Produits laitiers;;11.48;3.79
Beurre de Savoie L'ALPAGE;beurre-de-savoie-l-alpage;Crèmerie et Produits laitiers;;12.36;3.09
Beurre Demi-sel LEBEAU;beurre-demi-sel-lebeau;Crèmerie et Produits laitiers;;14.60;3.65
Beurre Doux LEBEAU;beurre-doux-lebeau;Crèmerie et Produits laitiers;;10.36;2.59
Beurre demi-sel rond LEBEAU;beurre-demi-sel-rond-lebeau;Crèmerie et Produits laitiers;;13.80;3.45
Margarine Doux Tartine Cuisine et Patisserie LE FLEURIER;margarine-doux-tartine-cuisine-et-patisserie-le-fleurier;Crèmerie et Produits laitiers;;9.56;2.39
Margarine Demi-sel Tartine Cuisine et Patisserie LE FLEURIER;margarine-demi-sel-tartine-cuisine-et-patisserie-le-fleurier;Crèmerie et Produits laitiers;;9.56;2.39
Margarine Doux Tartine Cuisine et Patisserie LE FLEURIER;margarine-doux-tartine-cuisine-et-patisserie-le-fleurier;Crèmerie et Produits laitiers;;8.61;4.39
Margarine Demi-sel Tartine Cuisine et Patisserie LE FLEURIER;margarine-demi-sel-tartine-cuisine-et-patisserie-le-fleurier;Crèmerie et Produits laitiers;;6.57;3.35
Beurre de Baratte Demi-sel LE GALL;beurre-de-baratte-demi-sel-le-gall;Crèmerie et Produits laitiers;;13.43;3.09
Beurre de Bretagne Demi-sel LE GALL;beurre-de-bretagne-demi-sel-le-gall;Crèmerie et Produits laitiers;;11.95;2.39
Beurre de Baratte Doux LE GALL;beurre-de-baratte-doux-le-gall;Crèmerie et Produits laitiers;;13.16;3.29
Beurre de Baratte Demi-sel LE GALL;beurre-de-baratte-demi-sel-le-gall;Crèmerie et Produits laitiers;;14.60;3.65
