title,slug,topCategoryName,origin,price_unit
Œufs de truite du Danemark CARREFOUR EXTRA,oeufs-de-truite-du-danemark-carrefour-extra,Viandes et Poissons,,78.62 € / KG
Saumon fumé Ecosse CARREFOUR CLASSIC',saumon-fume-ecosse-carrefour-classic,Viandes et Poissons,,35.83 € / KG
Truite fumée CARREFOUR CLASSIC',truite-fumee-carrefour-classic,Viandes et Poissons,,32.42 € / KG
Préparation à tartiner thon CARREFOUR SENSATION,preparation-a-tartiner-thon-carrefour-sensation,Viandes et Poissons,,15.36 € / KG
Saumon Gravlax en tranches CARREFOUR EXTRA,saumon-gravlax-en-tranches-carrefour-extra,Viandes et Poissons,,36.90 € / KG
Truite fumée CARREFOUR EXTRA,truite-fumee-carrefour-extra,Viandes et Poissons,,39.90 € / KG
Surimi bâtonnets CARREFOUR CLASSIC',surimi-batonnets-carrefour-classic,Viandes et Poissons,,6.98 € / KG
Filets de maquereaux fumés avec peau poivre CARREFOUR EXTRA,filets-de-maquereaux-fumes-avec-peau-poivre-carrefour-extra,Viandes et Poissons,,16.81 € / KG
Surimi texture délicate CARREFOUR EXTRA,surimi-texture-delicate-carrefour-extra,Viandes et Poissons,,12.76 € / KG
Truite fumée REFLETS DE FRANCE,truite-fumee-reflets-de-france,Viandes et Poissons,,45.42 € / KG
Brandade de morue parmentière  MAISON BRIAU,brandade-de-morue-parmentiere-maison-briau,Charcuterie et Traiteur,FRANCE,11.88 € / KG
Saumon fumé Norvège PETIT NAVIRE,saumon-fume-norvege-petit-navire,Viandes et Poissons,,47.92 € / KG
Saumon fumé Atlantique fumé Norvège DELPIERRE,saumon-fume-atlantique-fume-norvege-delpierre,Viandes et Poissons,,53.25 € / KG
Filet de harengs fumé réduit en sel DELPIERRE,filet-de-harengs-fume-reduit-en-sel-delpierre,Viandes et Poissons,,12.20 € / KG
Filet d'anchois à l'huile LA MONEGASQUE,filet-d-anchois-a-l-huile-la-monegasque,Viandes et Poissons,,26.80 € / KG
Surimi bâtonnets CARREFOUR CLASSIC',surimi-batonnets-carrefour-classic,Viandes et Poissons,,7.25 € / KG
Acras de morue CARREFOUR SENSATION,acras-de-morue-carrefour-sensation,Charcuterie et Traiteur,,12.44 € / KG
Filets d'anchois aux câpres CARREFOUR EXTRA,filets-d-anchois-aux-capres-carrefour-extra,Viandes et Poissons,,47.50 € / KG
Filets de hareng fumé au naturel CARREFOUR CLASSIC',filets-de-hareng-fume-au-naturel-carrefour-classic,Viandes et Poissons,,8.75 € / KG
Saumon fumé Norvège CARREFOUR EXTRA,saumon-fume-norvege-carrefour-extra,Viandes et Poissons,,41.86 € / KG
Tarama au saumon CARREFOUR,tarama-au-saumon-carrefour,Viandes et Poissons,,12.90 € / KG
