title,slug,topCategoryName,origin,price_unit
Hauts de cuisse poulet blanc fermier CARREFOUR BIO,hauts-de-cuisse-poulet-blanc-fermier-carrefour-bio,Viandes et Poissons,,4.19 € / KG
Médaillons de poulet à la basquaise SIMPL,medaillons-de-poulet-a-la-basquaise-simpl,Viandes et Poissons,,12.38 € / KG
Médaillons de poulet marinés SIMPL,medaillons-de-poulet-marines-simpl,Viandes et Poissons,,12.38 € / KG
Filet de poulet en aiguillette CARREFOUR CLASSIC',filet-de-poulet-en-aiguillette-carrefour-classic,Viandes et Poissons,,18.30 € / KG
Pilon de poulet blanc VOLAILLE FRANCAISE,pilon-de-poulet-blanc-volaille-francaise,Viandes et Poissons,FRANCE,5.00 € / KG
Cuisses de poulet blanc avec partie de dos VOLAILLE FRANCAISE,cuisses-de-poulet-blanc-avec-partie-de-dos-volaille-francaise,Viandes et Poissons,FRANCE,4.62 € / KG
Cuisses de poulet jaune avec partie de dos VOLAILLE FRANCAISE,cuisses-de-poulet-jaune-avec-partie-de-dos-volaille-francaise,Viandes et Poissons,FRANCE,5.25 € / KG
Wings  tex mex ISLA MONDIAL,wings-tex-mex-isla-mondial,Surgelés,,9.98 € / KG
Pilons de poulet halal,pilons-de-poulet-halal,Viandes et Poissons,BELGIQUE,4.70 € / KG
Pilon de Poulet jaune,pilon-de-poulet-jaune,Viandes et Poissons,FRANCE,7.70 € / KG
Cuisses de poulet jaune CARREFOUR CLASSIC',cuisses-de-poulet-jaune-carrefour-classic,Viandes et Poissons,,5.17 € / KG
Cuisses de poulet blanc CARREFOUR CLASSIC',cuisses-de-poulet-blanc-carrefour-classic,Viandes et Poissons,,5.17 € / KG
Filets de poulet jaune CARREFOUR CLASSIC',filets-de-poulet-jaune-carrefour-classic,Viandes et Poissons,,12.29 € / KG
Poulet jaune PAC Label Rouge FERMIERS DE LOUE,poulet-jaune-pac-label-rouge-fermiers-de-loue,Viandes et Poissons,,13.63 € / KG
Filets de poulet LE PETIT MARCHE DE LOUE,filets-de-poulet-le-petit-marche-de-loue,Viandes et Poissons,,6.16 € / KG
Cuisses de poulet LE PETIT MARCHE DE LOUE,cuisses-de-poulet-le-petit-marche-de-loue,Viandes et Poissons,,4.72 € / KG
Cuisses de poulet blanc Label Rouge FERMIERS DE LOUE,cuisses-de-poulet-blanc-label-rouge-fermiers-de-loue,Viandes et Poissons,,10.61 € / KG
Filet de poulet jaune LE GAULOIS,filet-de-poulet-jaune-le-gaulois,Viandes et Poissons,,13.68 € / KG
Filet de poulet blanc LE GAULOIS,filet-de-poulet-blanc-le-gaulois,Viandes et Poissons,,13.68 € / KG
Cuisses de poulet fermier jaune Label Rouge FERMIERS DE LOUE,cuisses-de-poulet-fermier-jaune-label-rouge-fermiers-de-loue,Viandes et Poissons,,5.74 € / KG
Morceaux de poulet jaune LE GAULOIS,morceaux-de-poulet-jaune-le-gaulois,Viandes et Poissons,,8.25 € / KG
Cuisses de poulet fermier  Bio CARREFOUR BIO,cuisses-de-poulet-fermier-bio-carrefour-bio,Viandes et Poissons,,9.90 € / KG
Cuisses de poulet  jaune fermier Bio CARREFOUR BIO,cuisses-de-poulet-jaune-fermier-bio-carrefour-bio,Viandes et Poissons,,9.90 € / KG
Poulet blanc prêt à cuire CARREFOUR CLASSIC',poulet-blanc-pret-a-cuire-carrefour-classic,Viandes et Poissons,,4.95 € / KG
Poulet jaune prêt à cuire CARREFOUR CLASSIC',poulet-jaune-pret-a-cuire-carrefour-classic,Viandes et Poissons,,4.95 € / KG
Cuisses de poulet blanc CARREFOUR CLASSIC',cuisses-de-poulet-blanc-carrefour-classic,Viandes et Poissons,,9.84 € / KG
Cuisses de poulet jaune CARREFOUR CLASSIC',cuisses-de-poulet-jaune-carrefour-classic,Viandes et Poissons,,9.84 € / KG
Cuisses de poulet blanc CARREFOUR CLASSIC',cuisses-de-poulet-blanc-carrefour-classic,Viandes et Poissons,,3.37 € / KG
