title,slug,topCategoryName,origin,price_unit
Filet d'Eglefin,filet-d-eglefin,Viandes et Poissons,ATLANTIQUE NORD EST,4.99 € / KG
Filet d'eglefin,filet-d-eglefin,Viandes et Poissons,ATLANTIQUE NORD EST,20.00 € / KG
Filet de julienne prêt à cuisiner,filet-de-julienne-pret-a-cuisiner,Viandes et Poissons,ESPAGNE,4.59 € / KG
Filet de lieu noir,filet-de-lieu-noir,Viandes et Poissons,ATLANTIQUE NORD EST,17.18 € / KG
Filet de lieu noir,filet-de-lieu-noir,Viandes et Poissons,ESPAGNE,3.79 € / KG
Filet de maquereau Pavillon de France,filet-de-maquereau-pavillon-de-france,Viandes et Poissons,ATLANTIQUE NORD EST,21.96 € / KG
Filet de merlan CARREFOUR LE MARCHE,filet-de-merlan-carrefour-le-marche,Viandes et Poissons,ATLANTIQUE NORD EST,23.98 € / KG
Filet de merlan sans arête CARREFOUR LE MARCHE,filet-de-merlan-sans-arete-carrefour-le-marche,Viandes et Poissons,ATLANTIQUE NORD EST,25.00 € / KG
Filet de merlan,filet-de-merlan,Viandes et Poissons,ATLANTIQUE NORD EST,4.99 € / KG
Filet de merlan,filet-de-merlan,Viandes et Poissons,FRANCE,4.99 € / KG
Filet de merlu,filet-de-merlu,Viandes et Poissons,ATLANTIQUE NORD EST,6.89 € / KG
Filet de Morue salée,filet-de-morue-salee,Viandes et Poissons,ATLANTIQUE NORD EST,11.49 € / KG
Filet de morue dessalée GAYTAN,filet-de-morue-dessalee-gaytan,Viandes et Poissons,ISLANDE,34.97 € / KG
Filet de perche du nil,filet-de-perche-du-nil,Viandes et Poissons,OUGANDA,11.39 € / KG
Filet de queue de cabillaud,filet-de-queue-de-cabillaud,Viandes et Poissons,ATLANTIQUE NORD EST,5.99 € / KG
Filet de rouget,filet-de-rouget,Viandes et Poissons,ATLANTIQUE NORD EST,6.49 € / KG
Filet de Rouget barbet,filet-de-rouget-barbet,Viandes et Poissons,ATLANTIQUE NORD EST,37.45 € / KG
Filet de Sébaste MSC  CARREFOUR LE MARCHE,filet-de-sebaste-msc-carrefour-le-marche,Viandes et Poissons,ATLANTIQUE NORD EST,28.29 € / KG
