"Date";"title";"slug";"product_family";"origin";"price";"total_kg_co2";"total_kg_co2_farming";"total_kg_co2_processing";"total_kg_co2_packaging";"total_kg_co2_transport";"total_kg_co2_retail";"total_kg_co2_consumption"
"23/11/2024";"Soda au Cola PEPSI";"soda";"Boissons";"";3.49;0.978;0.179;0.0258;0.274;0.414;0.072;0.0135
"11/05/2023";"Cappuccino soluble   chocolat onctueux CARREFOUR";"cappuccino-soluble-chocolat-onctueux-carrefour";"Epicerie sucrée";"";2.55;0.177;0.0958;0.0217;0.0346;0.0218;0.0025;0.0
"11/06/2024";"Boisson énergisante Nitro MONSTER ENERGY";"soda";"Boissons";"";1.69;0.247;0.0451;0.0065;0.069;0.105;0.0182;0.0034
"06/09/2023";"Yaourt lait entier à l'arome naturel de fruits CARREFOUR";"yaourt-lait-entier-a-l-arome-naturel-de-fruits-carrefour";"Crèmerie et Produits laitiers";"";2.95;1.15;0.812;0.0124;0.0959;0.214;0.0162;0.0
"04/07/2022";"Préparation pour boisson instantanée Cérécof GERBLE";"preparation-pour-boisson-instantanee-cerecof-gerble";"Epicerie sucrée";"";4.55;0.153;0.0832;0.0189;0.0301;0.0189;0.0022;0.0
"27/09/2022";"Thé vert Menthe Twinings TWININGS";"the";"Epicerie sucrée";"";2.75;0.0018;0.0009;0.0;0.0003;0.0001;0.0;0.0005
"02/06/2023";"Sirop Fraise TEISSEIRE";"soda";"Boissons";"";3.25;0.296;0.0541;0.0078;0.0827;0.125;0.0218;0.0041
"22/11/2023";"Oignons blancs";"oignons-blancs";"Fruits et Légumes";"FRANCE";2.39;0.21;0.0505;0.0;0.0;0.134;0.0096;0.0162
"22/01/2022";"Plateau 3 fromages AOP REFLETS DE FRANCE";"fromage";"Crèmerie et Produits laitiers";"";10.7;2.78;2.31;0.129;0.202;0.121;0.0175;0.0032
"08/09/2022";"Champignons cèpes SABAROT";"champignons-cepes-sabarot";"Epicerie salée";"";4.95;0.247;0.23;0.0;0.0;0.0119;0.0022;0.0032
"11/06/2024";"Bonbons bubblizz piquants LUTTI";"bonbons-bubblizz-piquants-lutti";"Epicerie sucrée";"";1.89;0.337;0.163;0.0686;0.0523;0.0478;0.0047;0.0
"21/11/2023";"Bière Blonde LEFFE";"biere";"Boissons";"";10.19;4.04;0.24;0.818;1.86;0.989;0.109;0.0205
