title;slug;product_family;origin;price;total_g_co2;total_g_co2_farming;total_g_co2_processing;total_g_co2_packaging;total_g_co2_transport;total_g_co2_retail;total_g_co2_consumption
Jus De Clémentine Pressées 100% Pur Jus Sans Sucres Ajoutés ANDROS;jus-de-clementine-pressees-100-pur-jus-sans-sucres-ajoutes-andros;Fruits et Légumes;;3,79;1,95;0,873;0,0002;0;0,71;0,0446;0,322
Jus De Clémentine Et Mandarine INNOCENT;jus-de-clementine-et-mandarine-innocent;Fruits et Légumes;;2,99;1,17;0,525;0,0001;0;0,427;0,0268;0,194
Jus De Fruits 3 Agrumes Sans Sucres Ajoutés CARREFOUR EXTRA;jus-de-fruits-3-agrumes-sans-sucres-ajoutes-carrefour-extra;Fruits et Légumes;;2,75;1,53;0,53;0,241;0,09;0,628;0,039;0
Jus De Pamplemousse Roses Pressés 100% Pur Jus Sans Sucres Ajoutés ANDROS;jus-de-pamplemousse-roses-presses-100-pur-jus-sans-sucres-ajoutes-andros;Fruits et Légumes;;3,35;0,926;0,257;0,0001;0;0,505;0,0255;0,138
Jus De Pamplemousse Avec Pulpe CARREFOUR EXTRA;jus-de-pamplemousse-avec-pulpe-carrefour-extra;Fruits et Légumes;;2,35;0,926;0,257;0,0001;0;0,505;0,0255;0,138
Jus D'Orange Pressées 100% Pur Jus Sans Sucres Ajoutés ANDROS;jus-d-orange-pressees-100-pur-jus-sans-sucres-ajoutes-andros;Fruits et Légumes;;3,09;0,678;0,198;0,0001;0;0,378;0,021;0,0806
Jus D'Orange Sanguines Pressées 100% Pur Jus Sans Sucres Ajoutés ANDROS;jus-d-orange-sanguines-pressees-100-pur-jus-sans-sucres-ajoutes-andros;Fruits et Légumes;;4,15;0,678;0,198;0,0001;0;0,378;0,021;0,0806
Jus D'Orange Pressées Sans Pulpe 100% Pur Jus Sans Sucres Ajoutés ANDROS;jus-d-orange-pressees-sans-pulpe-100-pur-jus-sans-sucres-ajoutes-andros;Fruits et Légumes;;3,49;0,678;0,198;0,0001;0;0,378;0,021;0,0806
Jus D'Orange Pressées Sans Pulpe 100% Pur Jus Sans Sucres Ajoutés ANDROS;jus-d-orange-pressees-sans-pulpe-100-pur-jus-sans-sucres-ajoutes-andros;Fruits et Légumes;;3,75;1,02;0,297;0,0001;0;0,567;0,0315;0,121
Jus D'Orange 100% avec Pulpe CARREFOUR EXTRA;jus-d-orange-100-avec-pulpe-carrefour-extra;Fruits et Légumes;;2,49;0,678;0,198;0,0001;0;0,378;0,021;0,0806
Jus d'orange 100% pur jus sans pulpe CARREFOUR EXTRA;jus-d-orange-100-pur-jus-sans-pulpe-carrefour-extra;Fruits et Légumes;;3,19;1,01;0,297;0,0001;0;0,566;0,0315;0,121
Jus D'Orange 100% Pur Jus Avec Pulpe CARREFOUR EXTRA;jus-d-orange-100-pur-jus-avec-pulpe-carrefour-extra;Fruits et Légumes;;3,19;1,01;0,297;0,0001;0;0,566;0,0315;0,121
