title;slug;product_family;origin;price;total_g_co2;total_g_co2_farming;total_g_co2_processing;total_g_co2_packaging;total_g_co2_transport;total_g_co2_retail;total_g_co2_consumption
Bonbons mini pastilles du Bassin de Vichy, saveur menthe MOINET VICHY SANTE;bonbons-mini-pastilles-du-bassin-de-vichy-saveur-menthe-moinet-vichy-sante;Epicerie sucrée;;1,1;0,223;0,108;0,0455;0,0347;0,0317;0,0031;0
Œuf en Chocolat Lait Pétillant CEMOI;oeuf-en-chocolat-lait-petillant-cemoi;Epicerie sucrée;;4,69;1,55;1,32;0,0656;0,142;0,0218;0,0073;0
Œuf en Chocolat Lait Croustillant CEMOI;oeuf-en-chocolat-lait-croustillant-cemoi;Epicerie sucrée;;4,69;1,55;1,32;0,0656;0,142;0,0218;0,0073;0
Œuf en Chocolat Chocolat Noir Croustillant CEMOI;oeuf-en-chocolat-chocolat-noir-croustillant-cemoi;Epicerie sucrée;;4,69;1,55;1,32;0,0656;0,142;0,0218;0,0073;0
Bonbons chocolat guimauve & caramel petit hérisson CEMOI;bonbons-chocolat-guimauve-caramel-petit-herisson-cemoi;Epicerie sucrée;;5,5;0,303;0,147;0,0618;0,0471;0,043;0,0043;0
Bonbons chocolat guimauve enrobé chocolat lait CEMOI;bonbons-chocolat-guimauve-enrobe-chocolat-lait-cemoi;Epicerie sucrée;;3,75;0,164;0,0793;0,0333;0,0254;0,0232;0,0023;0
Chocolat Cœur Guimauve Enrobées de Chocolat Noir CEMOI;chocolat-coeur-guimauve-enrobees-de-chocolat-noir-cemoi;Epicerie sucrée;;4,15;0,868;0,736;0,0366;0,0794;0,0122;0,0041;0
Guimauve de Pâque L'Authentique Petit Ourson Guimauve au Chocolat au Lait CEMOI;guimauve-de-paque-l-authentique-petit-ourson-guimauve-au-chocolat-au-lait-cemoi;Epicerie sucrée;;4,25;1,07;0,903;0,045;0,0975;0,015;0,005;0
Guimauve Petit Hérisson Guimauve et Caramel CEMOI;guimauve-petit-herisson-guimauve-et-caramel-cemoi;Epicerie sucrée;;4,99;0;0;0;0;0;0;0
Chocolats rochers lait;chocolats-rochers-lait;Epicerie sucrée;;1,59;1,1;0,936;0,0466;0,101;0,0155;0,0052;0
Bonbons chocolat petit ourson guimauve CEMOI;bonbons-chocolat-petit-ourson-guimauve-cemoi;Epicerie sucrée;;4,4;0,303;0,147;0,0618;0,0471;0,043;0,0043;0
Bonbons hérisson guimauve  CEMOI;bonbons-herisson-guimauve-cemoi;Epicerie sucrée;;2,25;0,238;0,115;0,0485;0,037;0,0338;0,0033;0
Tourrons noisettes LOR;tourrons-noisettes-lor;Epicerie sucrée;;6,7;0,962;0,862;0,0392;0;0,0562;0,0048;0
Nougat amande LOR;nougat-amande-lor;Epicerie sucrée;;2,65;0;0;0;0;0;0;0
Confiseries nougat tendre LOR;confiseries-nougat-tendre-lor;Epicerie sucrée;;3,75;0;0;0;0;0;0;0
Bonbons tourons de catalogne LOR;bonbons-tourons-de-catalogne-lor;Produits régionaux et locaux;;6,8;0,223;0,108;0,0455;0,0347;0,0317;0,0031;0
Touron noir;touron-noir;Epicerie sucrée;;6,8;0;0;0;0;0;0;0
Tourons aux amandes et pignons LOR;tourons-aux-amandes-et-pignons-lor;Epicerie sucrée;;9,55;0;0;0;0;0;0;0
Biscuits tourons de catalogne LOR;biscuits-tourons-de-catalogne-lor;Epicerie sucrée;;8,39;0;0;0;0;0;0;0
Nougats tendres LOR;nougats-tendres-lor;Epicerie sucrée;;8,39;0;0;0;0;0;0;0
Sucettes Lollies Bipop;sucettes-lollies-bipop;Epicerie sucrée;;1,49;0;0;0;0;0;0;0
Chewing-gum à dérouler goût tutti frutti;chewing-gum-a-derouler-gout-tutti-frutti;Epicerie sucrée;;0,75;0;0;0;0;0;0;0
Bonbons Langues Sucrées VICKYZZZ;bonbons-langues-sucrees-vickyzzz;Epicerie sucrée;;1,2;0,149;0,0721;0,0303;0,0231;0,0211;0,0021;0
Bonbons Bisous Multicouleur VICKYZZZ;bonbons-bisous-multicouleur-vickyzzz;Epicerie sucrée;;1,2;0,149;0,0721;0,0303;0,0231;0,0211;0,0021;0
Bonbons tétines sucrées halal SEREBIS;bonbons-tetines-sucrees-halal-serebis;Epicerie sucrée;;1,2;0,149;0,0721;0,0303;0,0231;0,0211;0,0021;0
Bonbons Multicouleurs Sucrées SEREBIS;bonbons-multicouleurs-sucrees-serebis;Epicerie sucrée;;1,2;0,149;0,0721;0,0303;0,0231;0,0211;0,0021;0
Bonbons Pailles Fraises Sucrées VICKYZZZ;bonbons-pailles-fraises-sucrees-vickyzzz;Epicerie sucrée;;1,2;0,0383;0,0084;0;0;0,0198;0,0021;0,0081
Bonbons Langues Multifruits VICKYZZZ;bonbons-langues-multifruits-vickyzzz;Epicerie sucrée;;1,2;0,149;0,0721;0,0303;0,0231;0,0211;0,0021;0
Bonbons au sucre VICKYZZZ;bonbons-au-sucre-vickyzzz;Epicerie sucrée;;1,2;0,149;0,0721;0,0303;0,0231;0,0211;0,0021;0
Bonbons Ceintures Fraises VICKYZZZ;bonbons-ceintures-fraises-vickyzzz;Epicerie sucrée;;1,2;0,149;0,0721;0,0303;0,0231;0,0211;0,0021;0
Bonbons tropical mix halal SEREBIS;bonbons-tropical-mix-halal-serebis;Epicerie sucrée;;1,2;0,149;0,0721;0,0303;0,0231;0,0211;0,0021;0
Bonbons bisous fraise halal SEREBIS;bonbons-bisous-fraise-halal-serebis;Epicerie sucrée;;1,2;0,149;0,0721;0,0303;0,0231;0,0211;0,0021;0
Bonbons Poulpes Acides VICKYZZZ;bonbons-poulpes-acides-vickyzzz;Epicerie sucrée;;1,2;0,149;0,0721;0,0303;0,0231;0,0211;0,0021;0
Bonbons tranches pastèques halal SEREBIS;bonbons-tranches-pasteques-halal-serebis;Epicerie sucrée;;1,2;0,149;0,0721;0,0303;0,0231;0,0211;0,0021;0
Bonbons bouteilles de cola halal SEREBIS;bonbons-bouteilles-de-cola-halal-serebis;Epicerie sucrée;;1,2;0,149;0,0721;0,0303;0,0231;0,0211;0,0021;0
Bonbons Vers de Terre Acides VICKYZZZ;bonbons-vers-de-terre-acides-vickyzzz;Epicerie sucrée;;1,2;0,149;0,0721;0,0303;0,0231;0,0211;0,0021;0
Bonbons Cœur de Pêche VICKYZZZ;bonbons-coeur-de-peche-vickyzzz;Epicerie sucrée;;1,2;0,149;0,0721;0,0303;0,0231;0,0211;0,0021;0
Bonbons bouteilles roses et bleues halal SEREBIS;bonbons-bouteilles-roses-et-bleues-halal-serebis;Epicerie sucrée;;1,2;0,123;0,0665;0,0151;0,0241;0,0151;0,0018;0
Bonbons dentiers lisses halal SEREBIS;bonbons-dentiers-lisses-halal-serebis;Epicerie sucrée;;1,2;0,149;0,0721;0,0303;0,0231;0,0211;0,0021;0
Bonbons bananes SEREBIS;bonbons-bananes-serebis;Epicerie sucrée;;1,2;0,0909;0,0295;0;0;0,0447;0,0028;0,0138
Bonbons Crocodile Sucrés Halal SEREBIS;bonbons-crocodile-sucres-halal-serebis;Epicerie sucrée;;1,2;0,149;0,0721;0,0303;0,0231;0,0211;0,0021;0
Bonbon Œufs aux Plats Halal VICKYZZZ;bonbon-oeufs-aux-plats-halal-vickyzzz;Epicerie sucrée;;1,2;0,188;0,149;0;0,0109;0,0189;0,0009;0,0081
Bonbons requins sucrés halal SEREBIS;bonbons-requins-sucres-halal-serebis;Epicerie sucrée;;1,2;0,149;0,0721;0,0303;0,0231;0,0211;0,0021;0
Bonbons goût caramel VERQUIN;bonbons-gout-caramel-verquin;Produits régionaux et locaux;;2,25;0,331;0,161;0,0675;0,0515;0,047;0,0047;0
Bonbons Fraisoo'Bool fraise VERQUIN;bonbons-fraisoo-bool-fraise-verquin;Epicerie sucrée;;2,19;0,297;0,144;0,0606;0,0462;0,0422;0,0042;0
Bonbons Croibleu à l'eucalyptus VERQUIN;bonbons-croibleu-a-l-eucalyptus-verquin;Epicerie sucrée;;2,59;0,307;0,166;0,0378;0,0601;0,0379;0,0044;0
Bonbons Croibleu sève de pin VERQUIN;bonbons-croibleu-seve-de-pin-verquin;Produits régionaux et locaux;;1,55;0,123;0,0665;0,0151;0,0241;0,0152;0,0018;0
Touron aux amandes LE TECH;touron-aux-amandes-le-tech;Epicerie sucrée;;6,3;0;0;0;0;0;0;0
Touron  Catalan de pignons  LE TECH;touron-catalan-de-pignons-le-tech;Epicerie sucrée;;14,55;0;0;0;0;0;0;0
Confiseries nougat Touron  Noir noisettes-amandes LE TECH;confiseries-nougat-touron-noir-noisettes-amandes-le-tech;Epicerie sucrée;;8,45;0,962;0,862;0,0392;0;0,0562;0,0048;0
Touron mazapan aux fruits confits LE TECH;touron-mazapan-aux-fruits-confits-le-tech;Epicerie sucrée;;6,55;0;0;0;0;0;0;0
Pain d'amande LE TECH;pain-d-amande-le-tech;Epicerie sucrée;;11,89;0;0;0;0;0;0;0
Biscuits Méditérranéens chocolat noir LE TECH;biscuits-mediterraneens-chocolat-noir-le-tech;Epicerie sucrée;;3,45;1,18;1;0,05;0,108;0,0166;0,0055;0
Biscuits Rousquilles meringue LE TECH;biscuits-rousquilles-meringue-le-tech;Epicerie sucrée;;13,69;0;0;0;0;0;0;0
Nougat amandes miel de lavande;nougat-amandes-miel-de-lavande;Epicerie sucrée;;6,59;0;0;0;0;0;0;0
Bonbons halal fraises fondantes SAMIA;bonbons-halal-fraises-fondantes-samia;Epicerie sucrée;;2,65;0,297;0,144;0,0606;0,0462;0,0422;0,0042;0
Bonbons halal bananes SAMIA;bonbons-halal-bananes-samia;Epicerie sucrée;;2,45;0,182;0,059;0;0;0,0894;0,0057;0,0276
Bonbons halal bouteilles de cola SAMIA;bonbons-halal-bouteilles-de-cola-samia;Epicerie sucrée;;2,29;0,297;0,144;0,0606;0,0462;0,0422;0,0042;0
Bonbons halal pastèques SAMIA;bonbons-halal-pasteques-samia;Epicerie sucrée;;2,65;0,297;0,144;0,0606;0,0462;0,0422;0,0042;0
Bonbons halal oursons SAMIA;bonbons-halal-oursons-samia;Epicerie sucrée;;2,55;0,297;0,144;0,0606;0,0462;0,0422;0,0042;0
Bonbons halal cœur de pêche SAMIA;bonbons-halal-coeur-de-peche-samia;Epicerie sucrée;;2,65;0,297;0,144;0,0606;0,0462;0,0422;0,0042;0
Bonbons assortiment Halal SAMIA;bonbons-assortiment-halal-samia;Epicerie sucrée;;7,45;1,49;0,721;0,303;0,231;0,211;0,0209;0
Bonbons halal tendres fruits SAMIA;bonbons-halal-tendres-fruits-samia;Epicerie sucrée;;4,79;0,877;0,425;0,179;0,136;0,125;0,0123;0
Bonbons halal marshmallow SAMIA;bonbons-halal-marshmallow-samia;Epicerie sucrée;;2,45;0,372;0,18;0,0758;0,0578;0,0528;0,0052;0
Bonbons halal assortiment piquants SAMIA;bonbons-halal-assortiment-piquants-samia;Epicerie sucrée;;4,85;0,744;0,361;0,152;0,116;0,106;0,0105;0
Bonbons halal Bubble melon SAMIA;bonbons-halal-bubble-melon-samia;Epicerie sucrée;;2,75;0,245;0,133;0,0302;0,0481;0,0303;0,0035;0
Bonbons halal vers piquants SAMIA;bonbons-halal-vers-piquants-samia;Epicerie sucrée;;2,65;0,297;0,144;0,0606;0,0462;0,0422;0,0042;0
Bonbons crocodiles Halal SAMIA;bonbons-crocodiles-halal-samia;Epicerie sucrée;;2,45;0,297;0,144;0,0606;0,0462;0,0422;0,0042;0
Bonbons bubble melon SAMIA;bonbons-bubble-melon-samia;Epicerie sucrée;;1,1;0,11;0,0599;0,0136;0,0217;0,0136;0,0016;0
Bonbons colas pep's Halal SAMIA;bonbons-colas-pep-s-halal-samia;Epicerie sucrée;;1,1;0,134;0,0649;0,0273;0,0208;0,019;0,0019;0
Bonbons banana cool Halal SAMIA;bonbons-banana-cool-halal-samia;Epicerie sucrée;;1,1;0,134;0,0649;0,0273;0,0208;0,019;0,0019;0
Bonbons fraise duo Halal SAMIA;bonbons-fraise-duo-halal-samia;Epicerie sucrée;;1,1;0,134;0,0649;0,0273;0,0208;0,019;0,0019;0
Bonbons pastek pep's Halal SAMIA;bonbons-pastek-pep-s-halal-samia;Epicerie sucrée;;1,1;0,134;0,0649;0,0273;0,0208;0,019;0,0019;0
Nougats tendre LOR;nougats-tendre-lor;Epicerie sucrée;;4,65;0;0;0;0;0;0;0
Nougat tendre LOR;nougat-tendre-lor;Epicerie sucrée;;2,05;0;0;0;0;0;0;0
Bonbons meringues fantaisie DOUCINELLE;bonbons-meringues-fantaisie-doucinelle;Epicerie sucrée;;2,39;0,744;0,361;0,152;0,116;0,106;0,0105;0
Nougat blanc de Provence MAUREL CONFISERIE;nougat-blanc-de-provence-maurel-confiserie;Epicerie sucrée;;6,45;0;0;0;0;0;0;0
Nougat noir de Provence MAUREL CONFISERIE;nougat-noir-de-provence-maurel-confiserie;Epicerie sucrée;;5,65;0;0;0;0;0;0;0
Nougat noir MAUREL;nougat-noir-maurel;Epicerie sucrée;;8,29;0;0;0;0;0;0;0
Bonbons Calissons d'Aix MAUREL;bonbons-calissons-d-aix-maurel;Produits régionaux et locaux;;5,99;0,26;0,126;0,053;0,0404;0,0369;0,0037;0
Friandises Calissons d'Aix MAUREL;friandises-calissons-d-aix-maurel;Produits régionaux et locaux;;13,75;0;0;0;0;0;0;0
Calissons d'Aix MAUREL;calissons-d-aix-maurel;Epicerie sucrée;;12,15;0;0;0;0;0;0;0
Bonbons Calimignons MAUREL;bonbons-calimignons-maurel;Epicerie sucrée;;3,7;0,141;0,0685;0,0288;0,0219;0,02;0,002;0
Mini calissons assortiment MAUREL;mini-calissons-assortiment-maurel;Epicerie sucrée;;4,39;0;0;0;0;0;0;0
Calissons d'Aix en Provence MAUREL;calissons-d-aix-en-provence-maurel;Epicerie sucrée;;10,85;0;0;0;0;0;0;0
Bonbons bergamote de Nancy;bonbons-bergamote-de-nancy;Epicerie sucrée;;3,91;0,149;0,0721;0,0303;0,0231;0,0211;0,0021;0
Pâtes de fruits 6 parfums LES RECETTES CUITES AU CHAUDRON;pates-de-fruits-6-parfums-les-recettes-cuites-au-chaudron;Epicerie sucrée;;5,49;0,594;0,226;0,297;0,0167;0,0468;0,0081;0
Bonbons fourrés miel LUCIEN GEORGELIN;bonbons-fourres-miel-lucien-georgelin;Epicerie sucrée;;2,1;0,223;0,108;0,0455;0,0347;0,0317;0,0031;0
Bonbons arome violette LUCIEN GEORGELIN;bonbons-arome-violette-lucien-georgelin;Epicerie sucrée;;1,89;0,223;0,108;0,0455;0,0347;0,0317;0,0031;0
Bonbons berlingots LUCIEN GEORGELIN;bonbons-berlingots-lucien-georgelin;Epicerie sucrée;;2,1;0,223;0,108;0,0455;0,0347;0,0317;0,0031;0
Nougat tendre LES TROIS ABEILLES;nougat-tendre-les-trois-abeilles;Epicerie sucrée;;9,89;0;0;0;0;0;0;0
Nougat tendre aux amandes LES TROIS ABEILLES;nougat-tendre-aux-amandes-les-trois-abeilles;Epicerie sucrée;;1,89;0;0;0;0;0;0;0
Nougat tendre aux amandes LES TROIS ABEILLES;nougat-tendre-aux-amandes-les-trois-abeilles;Epicerie sucrée;;7,55;0;0;0;0;0;0;0
Tablette de chocolat 74% noir bio NATURALINE;tablette-de-chocolat-74-noir-bio-naturaline;Epicerie sucrée;;3,09;0,123;0,0665;0,0151;0,0241;0,0152;0,0018;0
Tablette de chocolat noir aux noisettes bio NATURALINE;tablette-de-chocolat-noir-aux-noisettes-bio-naturaline;Bio et Ecologie;;3,09;0,123;0,0665;0,0151;0,0241;0,0152;0,0018;0
Tablette de pure pâte bio de cacao 100% NATURALINE;tablette-de-pure-pate-bio-de-cacao-100-naturaline;Epicerie sucrée;;3,34;0,123;0,0665;0,0151;0,0241;0,0152;0,0018;0
Pâte de cacao pure 100% MOULIN DES MOINES;pate-de-cacao-pure-100-moulin-des-moines;Epicerie sucrée;;3,34;0;0;0;0;0;0;0
Pralines  Rouge  AUZIER CHABERNAC;pralines-rouge-auzier-chabernac;Epicerie sucrée;;3,75;0;0;0;0;0;0;0
Bonbons guimauves à l'ancienne AUZIER CHABERNAC;bonbons-guimauves-a-l-ancienne-auzier-chabernac;Produits régionaux et locaux;;4,15;0,446;0,216;0,0909;0,0693;0,0633;0,0063;0
Bonbons guimauve saveurs d'antan AUZIER CHABERNAC;bonbons-guimauve-saveurs-d-antan-auzier-chabernac;Produits régionaux et locaux;;4,2;0,491;0,238;0,1;0,0762;0,0696;0,0069;0
Bonbons réglisse douce AUZIER CHABERNAC;bonbons-reglisse-douce-auzier-chabernac;Produits régionaux et locaux;;4,89;0,372;0,18;0,0758;0,0578;0,0528;0,0052;0
Goomy  a la gomme d'acacia aromatisé a la menthe et à l'eucalyptus  AUZIER CHABERNAC;goomy-a-la-gomme-d-acacia-aromatise-a-la-menthe-et-a-l-eucalyptus-auzier-chabernac;Produits régionaux et locaux;;2,19;0,0131;0,0067;0;0,0019;0,0009;0,0001;0,0035
Pâte vanillée à la réglisse AUZIER CHABERNAC;pate-vanillee-a-la-reglisse-auzier-chabernac;Epicerie sucrée;;2,35;0;0;0;0;0;0;0
Bonbons réglisses au miel Bio AUZIER CHABERNAC;bonbons-reglisses-au-miel-bio-auzier-chabernac;Epicerie sucrée;;2,19;0,149;0,0721;0,0303;0,0231;0,0211;0,0021;0
Bonbons boules au miel Bio AUZIER CHABERNAC;bonbons-boules-au-miel-bio-auzier-chabernac;Epicerie sucrée;;2,39;0,149;0,0721;0,0303;0,0231;0,0211;0,0021;0
Bonbons propolis au miel & eucalyptus Bio AUZIER CHABERNAC;bonbons-propolis-au-miel-eucalyptus-bio-auzier-chabernac;Epicerie sucrée;;2,45;0,149;0,0721;0,0303;0,0231;0,0211;0,0021;0
Bonbons anis LES ANIS DE FLAVIGNY;bonbons-anis-les-anis-de-flavigny;Produits régionaux et locaux;;17,1;1,49;0,721;0,303;0,231;0,211;0,0209;0
Bonbons anis LES ANIS DE FLAVIGNY;bonbons-anis-les-anis-de-flavigny;Produits régionaux et locaux;;10;0,744;0,361;0,152;0,116;0,106;0,0105;0
Bonbons Anis De Flavigny ANIS DE FLAVIGNY;bonbons-anis-de-flavigny-anis-de-flavigny;Epicerie sucrée;;6;0,283;0,137;0,0576;0,0439;0,0401;0,004;0
Cochonette galantine;cochonette-galantine;Epicerie sucrée;;17,95;0;0;0;0;0;0;0
Bonbons fourrés liqueur verveine PAGES;bonbons-fourres-liqueur-verveine-pages;Epicerie sucrée;;6,69;0,245;0,119;0,05;0,0381;0,0348;0,0034;0
Nougat au miel pistaches BUTIMIEL;nougat-au-miel-pistaches-butimiel;Produits régionaux et locaux;;4,05;0;0;0;0;0;0;0
Bonbons pastilles miel nature BUTIMIEL;bonbons-pastilles-miel-nature-butimiel;Epicerie sucrée;;2,99;0,223;0,108;0,0455;0,0347;0,0317;0,0031;0
Chocolat aux amandes BUTIMIEL;chocolat-aux-amandes-butimiel;Produits régionaux et locaux;;3,9;1,97;1,67;0,0833;0,181;0,0277;0,0093;0
Croquants au miel chocolat amande BUTIMIEL;croquants-au-miel-chocolat-amande-butimiel;Epicerie sucrée;;4,45;1,58;1,34;0,0666;0,144;0,0222;0,0074;0
Bonbons de Loraine arrache-toux;bonbons-de-loraine-arrache-toux;Epicerie sucrée;;3,19;0,208;0,101;0,0424;0,0323;0,0295;0,0029;0
Bonbons shocks popping candy FIZZY;bonbons-shocks-popping-candy-fizzy;Epicerie sucrée;;2,49;0,0594;0,0288;0,0121;0,0092;0,0084;0,0008;0
Assortiment de Chocolats assortiment FIZZY;assortiment-de-chocolats-assortiment-fizzy;Epicerie sucrée;;11,99;0,789;0,669;0,0333;0,0722;0,0111;0,0037;0
Peluche animaux friandises et peluche de paque Friends House  FIZZY;peluche-animaux-friandises-et-peluche-de-paque-friends-house-fizzy;Epicerie sucrée;;11,99;0;0;0;0;0;0;0
Chocolat de Pâques friture chocolat lait CHEVALIERS ARGOUGES;chocolat-de-paques-friture-chocolat-lait-chevaliers-argouges;Epicerie sucrée;;4,7;0,789;0,669;0,0333;0,0722;0,0111;0,0037;0
Bonbons pralines surfines rouges C'EST BON L'AUVERGNE;bonbons-pralines-surfines-rouges-c-est-bon-l-auvergne;Epicerie sucrée;;8,35;0,595;0,288;0,121;0,0924;0,0844;0,0084;0
Bonbons pralines surfines broyées C'EST BON L'AUVERGNE;bonbons-pralines-surfines-broyees-c-est-bon-l-auvergne;Epicerie sucrée;;8,35;0,52;0,252;0,106;0,0808;0,0738;0,0073;0
Chocolat noir s/sucres KARELEA;chocolat-noir-s-sucres-karelea;Epicerie sucrée;;2,79;0,789;0,669;0,0333;0,0722;0,0111;0,0037;0
Truffes fantaisies au chocolat au lait nature TRUFFETTE DE FRANCE;truffes-fantaisies-au-chocolat-au-lait-nature-truffette-de-france;Epicerie sucrée;;3,5;1,58;1,34;0,0666;0,144;0,0222;0,0074;0
Ballotin pépites aux éclats de noisette et biscuit chocolat noir CHOCMOD;ballotin-pepites-aux-eclats-de-noisette-et-biscuit-chocolat-noir-chocmod;Epicerie sucrée;;3,5;0,789;0,669;0,0333;0,0722;0,0111;0,0037;0
Truffe fantaisie chocolat au lait et chocolat lait éclats de noisettes TRUFFETTE DE FRANCE;truffe-fantaisie-chocolat-au-lait-et-chocolat-lait-eclats-de-noisettes-truffette-de-france;Epicerie sucrée;;8,99;1,18;1;0,05;0,108;0,0166;0,0056;0
Truffe au chocolat amandes caramélisées TRUFFETTE DE FRANCE;truffe-au-chocolat-amandes-caramelisees-truffette-de-france;Epicerie sucrée;;9,99;0,71;0,602;0,03;0,065;0,01;0,0033;0
Nougat tendre;nougat-tendre;Epicerie sucrée;;4,59;0;0;0;0;0;0;0
Bonbons nougat;bonbons-nougat;Epicerie sucrée;;4,79;0,297;0,144;0,0606;0,0462;0,0422;0,0042;0
Bonbons nougat;bonbons-nougat;Epicerie sucrée;;9,35;0,595;0,288;0,121;0,0924;0,0844;0,0084;0
Nougat tendre 6 parfums;nougat-tendre-6-parfums;Epicerie sucrée;;19,89;0;0;0;0;0;0;0
Nougat tendre;nougat-tendre;Epicerie sucrée;;17,95;0;0;0;0;0;0;0
Nougat assortiment;nougat-assortiment;Epicerie sucrée;;10,85;0;0;0;0;0;0;0
Nougat assortiment Provençal;nougat-assortiment-provencal;Epicerie sucrée;;6,65;0;0;0;0;0;0;0
Bonbons Bergamote de Nancy;bonbons-bergamote-de-nancy;Produits régionaux et locaux;;5,89;0,297;0,144;0,0606;0,0462;0,0422;0,0042;0
Bonbons mini pastille du mineur  GEORGES VERQUIN;bonbons-mini-pastille-du-mineur-georges-verquin;Epicerie sucrée;;1,99;0,149;0,0721;0,0303;0,0231;0,0211;0,0021;0
Bonbons violette s/sucres VERQUIN;bonbons-violette-s-sucres-verquin;Produits régionaux et locaux;;1,99;0,149;0,0721;0,0303;0,0231;0,0211;0,0021;0
Bonbons assortiment;bonbons-assortiment;Epicerie sucrée;;10,95;2,97;1,44;0,605;0,462;0,422;0,0418;0
Bonbons framboise/fraise TETES BRULEES;bonbons-framboise-fraise-tetes-brulees;Epicerie sucrée;;2,19;0,236;0,115;0,0482;0,0367;0,0335;0,0033;0
Bonbons barres goûts framboise/cola VERQUIN;bonbons-barres-gouts-framboise-cola-verquin;Epicerie sucrée;;2,39;0,297;0,144;0,0606;0,0462;0,0422;0,0042;0
Bonbons pomme fraise TETES BRULEES;bonbons-pomme-fraise-tetes-brulees;Epicerie sucrée;;1,99;0,297;0,144;0,0606;0,0462;0,0422;0,0042;0
Bonbons Croibleu eucalyptus VERQUIN;bonbons-croibleu-eucalyptus-verquin;Produits régionaux et locaux;;1,45;0,123;0,0665;0,0151;0,0241;0,0151;0,0018;0
Bonbons Violettes goût acidulé GEORGES VERQUIN;bonbons-violettes-gout-acidule-georges-verquin;Epicerie sucrée;;2,09;0,297;0,144;0,0606;0,0462;0,0422;0,0042;0
Bonbons jungle barres TETES BRULEES;bonbons-jungle-barres-tetes-brulees;Epicerie sucrée;;2,35;0,262;0,127;0,0534;0,0407;0,0372;0,0037;0
Bonbons hypnostik  TETE BRULEES;bonbons-hypnostik-tete-brulees;Epicerie sucrée;;2,19;0,335;0,162;0,0683;0,052;0,0475;0,0047;0
Bonbons Koh Lanta TETES BRULEES;bonbons-koh-lanta-tetes-brulees;Epicerie sucrée;;2,19;0,263;0,127;0,0535;0,0408;0,0373;0,0037;0
Bonbons pomme BOOL'S;bonbons-pomme-bool-s;Epicerie sucrée;;1,99;0,335;0,163;0,0683;0,0521;0,0476;0,0047;0
Calissons d'Aix L'AMI PROVENCAL;calissons-d-aix-l-ami-provencal;Epicerie sucrée;;11,5;0;0;0;0;0;0;0
Calissons L'AMI PROVENCAL;calissons-l-ami-provencal;Epicerie sucrée;;10,9;0;0;0;0;0;0;0
Calissons losange CONFISERIE D'ENTRECASTEAUX;calissons-losange-confiserie-d-entrecasteaux;Epicerie sucrée;;14,4;0;0;0;0;0;0;0
Calissons losange  CONFISERIE D'ENTRECASTEAUX;calissons-losange-confiserie-d-entrecasteaux;Epicerie sucrée;;18,99;0;0;0;0;0;0;0
Calissons losanges CONFISERIE D'ENTRECASTEAUX;calissons-losanges-confiserie-d-entrecasteaux;Epicerie sucrée;;24,7;0;0;0;0;0;0;0
Calissons petits losanges CONFISERIE D'ENTRECASTEAUX;calissons-petits-losanges-confiserie-d-entrecasteaux;Epicerie sucrée;;7,9;0;0;0;0;0;0;0
Nougat tendre aux amendes & miel L'AMI PROVENCAL;nougat-tendre-aux-amendes-miel-l-ami-provencal;Epicerie sucrée;;5,2;0;0;0;0;0;0;0
Nougat Blanc L'AMI PROVENCAL;nougat-blanc-l-ami-provencal;Epicerie sucrée;;4,95;0;0;0;0;0;0;0
Nougat L'AMI PROVENCAL;nougat-l-ami-provencal;Epicerie sucrée;;5,4;0;0;0;0;0;0;0
Bonbons caramels au chocolat VERQUIN;bonbons-caramels-au-chocolat-verquin;Produits régionaux et locaux;;2,06;0,327;0,159;0,0667;0,0508;0,0464;0,0046;0
Bonbons spécialité caramel BONBEST;bonbons-specialite-caramel-bonbest;Epicerie sucrée;;3,29;0,164;0,0793;0,0333;0,0254;0,0232;0,0023;0
Bonbons violette cœur de réglisse BONBEST;bonbons-violette-coeur-de-reglisse-bonbest;Epicerie sucrée;;2,89;0,0476;0,0231;0,0097;0,0074;0,0068;0,0007;0
Bonbons sifflets BONBEST;bonbons-sifflets-bonbest;Produits régionaux et locaux;;2,75;0,052;0,0252;0,0106;0,0081;0,0074;0,0007;0
Bonbons sucettes BONBEST;bonbons-sucettes-bonbest;Produits régionaux et locaux;;2,65;0,141;0,0685;0,0288;0,0219;0,02;0,002;0
Chewing-gum à la menthe verte sans sucres 2Fresh  HOLLYWOOD;chewing-gum-a-la-menthe-verte-sans-sucres-2fresh-hollywood;Epicerie sucrée;;4,15;0,168;0,0583;0,0265;0,0099;0,0691;0,0043;0
Barbe à papa CANDY KATE;barbe-a-papa-candy-kate;Epicerie sucrée;;0,94;0;0;0;0;0;0;0
Moulage moulage poule CARREFOUR BIO;moulage-moulage-poule-carrefour-bio;Bio et Ecologie;;9,29;0;0;0;0;0;0;0
Barres de Chocolat au Caramel;barres-de-chocolat-au-caramel;Epicerie sucrée;;1,69;1,89;1,61;0,0799;0,173;0,0266;0,0089;0
Moulage cloche chocolat au lait CARREFOUR BIO;moulage-cloche-chocolat-au-lait-carrefour-bio;Bio et Ecologie;;9,29;1,1;0,936;0,0466;0,101;0,0155;0,0052;0
Œuf en Chocolat œufs saveur caramel ESPRIT DE FETE;oeuf-en-chocolat-oeufs-saveur-caramel-esprit-de-fete;Epicerie sucrée;;3,15;1,58;1,34;0,0666;0,144;0,0222;0,0074;0
