Date;product_family;title;price;total_kg_co2;total_kg_co2_farming;total_kg_co2_processing;total_kg_co2_packaging;total_kg_co2_transport;total_kg_co2_retail;total_kg_co2_consumption
22/09/2024;Epicerie sucrée;Chocolat en poudre OVOMALTINE;4,09;0,01696202;0,008717031;0;0,002486689;0,001218049;6,49886E-05;0,004475262
30/10/2024;Epicerie sucrée;Café en grains  d'Ethiopie Moka Sidamo intensité 7  CAFE SATI;10,49;0,3177315;0,218;0,00905;0,0645;0,0201;0,0004815;0,0056
12/12/2023;Crèmerie et Produits laitiers;Boisson lactée cappuccino Columbus CANDIA;1,99;0,436926527;0,308374046;0,00470916;0,036420038;0,081270992;0,00615229;0
10/01/2022;Epicerie sucrée;Cappuccino soluble   Original  NESCAFE;4,39;0,343322498;0,186323023;0,042286927;0,067340864;0,042416135;0,004955548;0
13/12/2024;Epicerie salée;Vinaigre balsamique au basilic CARREFOUR SELECTION;3,75;0,3171575;0,07525;0,008275;0,16975;0,05825;0,003925;0,0017075
27/04/2023;Epicerie sucrée;Tablette de chocolat noir Intense 70% COTE D'OR;1,69;0,12262635;0,06655;0,01510385;0,0240525;0,01515;0,00177;0
03/02/2024;Bio et Ecologie;Infusion menthe douce et thym CARREFOUR BIO;1,99;0,001307676;0,000672034;0;0,00019171;9,39047E-05;5,01025E-06;0,000345017
20/02/2023;Fruits et Légumes;Champignons bruns à croquer;2,29;0,926049156;0,86081205;6,13366E-05;0;0,044690242;0,008398166;0,012087361
05/07/2022;Viandes et Poissons;Roll cali cheese SUSHI DAILY;7,20;0,073630656;0,0161472;0,000037056;0;0,038016;0,0039552;0,0154752
08/01/2024;Crèmerie et Produits laitiers;Boisson lactée fraise Candy'Up CANDIA;2,85;1,37769958;0,972352941;0,014848739;0,114838235;0,256260504;0,01939916;0
23/06/2023;Crèmerie et Produits laitiers;Crème Crue Fermière;1,99;0,2301;0,1624;0,00248;0,01918;0,0428;0,00324;0
09/10/2024;Viandes et Poissons;Maki fun mix SUSHI DAILY;31,50;0,355504105;0,077962036;0,000178914;0;0,183549147;0,019096527;0,074717481
29/05/2024;Crèmerie et Produits laitiers;Fromage Fontina AOP;4,78;1,17252;0,97356;0,05426;0,08486;0,05112;0,00736;0,00136
09/12/2023;Viandes et Poissons;Viande de Volaille: Pilons de poulet marinés Far West ATELIER DE GUSTAVE;5,56;0,275837138;0,060491074;0,00013882;0;0,142416559;0,014817076;0,057973609
27/04/2024;Boissons;Boisson énergisante Ultra Rosa MONSTER;1,85;0,246665;0,0451;0,0065;0,069;0,1045;0,01815;0,003415
31/01/2023;Viandes et Poissons;Préparation à tartiner thon CARREFOUR SENSATION;1,69;0,548307077;0,39719401;0;0,051602214;0,094292318;0,004467057;0,000751478
29/06/2024;Epicerie sucrée;Biscuits gaufrettes enrobées chocolat CARREFOUR EXTRA;1,59;1,18347;1,00305;0,04995;0,1083;0,01662;0,00555;0
07/08/2023;Boissons;Vin blanc vin de pays Sauvignon ESPRIT FRUITE;14,49;6,338775414;1,503962069;0,165385862;3,392658621;1,164196552;0,078445862;0,034126448
14/01/2023;Epicerie sucrée;Moulage au lait lapin de Pâques  LINDT;6,55;0,2301;0,1624;0,00248;0,01918;0,0428;0,00324;0
28/02/2024;Boissons;Vin Blanc I.G.P. Pays d'Oc Côtes des Roses Chardonnay GERARD BERTRAND;8,65;0,951747572;0,225815265;0,024832177;0,509397225;0,17480052;0,011778404;0,005123981
24/10/2024;Crèmerie et Produits laitiers;Dessert bouillie d'avoine TRADITION BRETONNE;2,49;1,29018;1,1232;0,03468;0,054;0,05472;0,02358;0
08/08/2022;Boissons;Vin Blanc CHATEAU SAINT HILAIRE;6,90;0,9514725;0,22575;0,024825;0,50925;0,17475;0,011775;0,0051225
05/10/2024;Epicerie salée;Thon entier au naturel POMPON ROUGE;2,39;0,64800858;0,469417845;0;0,06098531;0,111437976;0,005279325;0,000888123
17/04/2024;Crèmerie et Produits laitiers;Yaourt à la Fraise Plaisir léger YAOS;2,79;0,255535;0,1135;0;0;0,1305;0,00655;0,004985
07/04/2022;Boissons;Vin  blanc  DOMAINE DU TARIQUET;9,55;0,951721642;0,225809112;0,0248315;0,509383346;0,174795758;0,011778083;0,005123841
04/09/2023;Produits régionaux et locaux;Bière Ambrée PIETRA;4,95;1,3335597;0,079101;0,27027;0,61479;0,3267;0,035937;0,0067617
31/08/2023;Crèmerie et Produits laitiers;Fromage Le Dégustation Tendre et Fruité ENTREMONT;2,89;1,46565;1,21695;0,067825;0,106075;0,0639;0,0092;0,0017
12/12/2024;Boissons;Boisson au thé glacé saveur pêche intense FUZE TEA;2,19;0,86431416;0,1580304;0,022776;0,241776;0,366168;0,0635976;0,01196616
09/11/2023;Crèmerie et Produits laitiers;Yaourt nature sur lit de fruits jaunes panaché PANIER DE YOPLAIT;3,19;0,965814474;0,681652632;0,010409474;0,080505526;0,179647368;0,013599474;0
18/09/2023;Boissons;Vin Rouge I.G.P. Pays d'Oc Merlot COULEURS DU SUD;12,98;5,082351049;1,205858025;0,132604321;2,720191358;0,933438272;0,062896914;0,02736216
23/08/2024;Boissons;Vin blanc  Mâcon-Villages vieilles vignes;6,75;0,9514725;0,22575;0,024825;0,50925;0,17475;0,011775;0,0051225
27/11/2024;Crèmerie et Produits laitiers;Fromage Comté AOP 18 mois d'affinage;1,45;1,345058544;1,116821203;0,062244462;0,09734731;0,058642405;0,008443038;0,001560127
15/04/2022;Fruits et Légumes;Jus  Summer Crush Fraise, Goyave, Fruit de la passion  INNOCENT;2,89;0,460122212;0,204370717;0;0;0,234981308;0,011794081;0,008976106
23/05/2024;Boissons;Vin Rosé AOP Bandol Cuvée Prestige DOMAINE LA SUFFRE;10,45;0,951700179;0,22580402;0,02483094;0,509371859;0,174791816;0,011777818;0,005123726
05/02/2023;Boissons;Vin Rouge IGP Côtes de Gascogne BLASON;2,07;0,9514725;0,22575;0,024825;0,50925;0,17475;0,011775;0,0051225
02/03/2022;Epicerie sucrée;Biscuits Gemme à l'abricot MULINO BIANCO;3,45;0,2903016;0,0694;0,0000216;0,1314;0,0684;0,00496;0,01612
16/05/2022;Boissons;Bière Blanche Aromatisée à la framboise Pink BELZEBUTH;2,25;0,444401393;0,026359971;0,090065982;0,204875367;0,108870968;0,011975806;0,002253299
12/09/2022;Epicerie sucrée;Tablette de Chocolat au lait amandes noisettes CARREFOUR EXTRA;3,35;0,2452527;0,1331;0,0302077;0,048105;0,0303;0,00354;0
06/09/2024;Fruits et Légumes;Jus Zest Défense Orange Carotte Mandarine Citron Gingembre INNOCENT;2,79;0,35645985;0,07452;0,00005985;0;0,2358;0,01701;0,02907
18/01/2024;Epicerie salée;Sauce vinaigrette balsamique CARREFOUR EXTRA;2,55;0,634315;0,1505;0,01655;0,3395;0,1165;0,00785;0,003415
16/04/2022;Epicerie salée;Haricots rouges  VIVIEN PAILLE;1,99;0,1917465;0,04205;0,0000965;0;0,099;0,0103;0,0403
11/10/2024;Crèmerie et Produits laitiers;Crème Fraiche Bio de Normandie VRAI;2,49;0,2301;0,1624;0,00248;0,01918;0,0428;0,00324;0
24/02/2023;Boissons;Vin Blanc Pays D'Oc GALLICIAN SIGNATURE;13,99;6,338619179;1,503925;0,165381786;3,392575;1,164167857;0,078443929;0,034125607
25/01/2023;Crèmerie et Produits laitiers;Compote pomme fraise sans sucres ajoutés CHARLES & ALICE;1,75;0,204194635;0,090696347;0;0;0,104280822;0,005234018;0,003983447
02/08/2023;Viandes et Poissons;Viande bovine : 1x STEAK** à griller;0,38;3,620232857;3,530725624;0,01149263;0,028047619;0,039852608;0,005682766;0,00443161
21/06/2022;Boissons;Vin blanc Sauvignon LA ROCHERIE;3,95;0,950870683;0,225607211;0,024809298;0,508927894;0,174639469;0,011767552;0,00511926
24/09/2024;Epicerie sucrée;Gâteaux génoises framboise CARREFOUR EXTRA;1,19;0,231560464;0,156065574;2,67112E-06;0;0,072030265;0,001965826;0,001496129
22/04/2023;Surgelés;Crème glacée  rhum des iles LA TURBINE A SAVEURS;9,05;1,610075728;0,875258216;0,129164319;0,358600939;0,209892019;0,031356338;0,005803897
24/01/2025;Boissons;Vin Blanc La Grand' Bastide SAINT JEAN VIEUX;8,80;0,951742882;0,225814152;0,024832055;0,509394714;0,174799659;0,011778346;0,005123956
23/10/2023;Crèmerie et Produits laitiers;Yaourt aux fruits bifidus ananas fraise pruneau kiwi myrtille poire ACTIVIA;5,69;2,727662783;0,737295775;6,91215E-05;0;1,292271127;0,050889437;0,647137324
18/08/2024;Boissons;Bière Blonde Premium Especial SAN MIGUEL;3,73;1,775414099;0,105309894;0,359819788;0,818491166;0,434946996;0,04784417;0,009002085
12/03/2025;Crèmerie et Produits laitiers;Yaourt de brebis nature Bio LE PETIT BASQUE;1,99;0,4736825;0,2575;0,038;0,1055;0,06175;0,009225;0,0017075
12/12/2022;Fruits et Légumes;Graines de Courge JARDIN BIO;4,59;0,177320702;0,056958232;0;0;0,090299637;0,007668523;0,02239431
28/06/2023;Crèmerie et Produits laitiers;Yaourt myrtille ETREZ;2,19;0,46077945;0,3225;0,00004445;0;0,123;0,01025;0,004985
09/12/2023;Surgelés;Tenders de poulet Halal ILSA MONDIAL;4,99;1,823441162;1,199519231;0,331866987;0,151139423;0,121951122;0,016233494;0,002730905
